Date,Machine,Shift,Temps_planifie_h,Temps_arret_h,Temps_fonctionnement_h,Pieces_produites,Pieces_bonnes,Pieces_defectueuses,Disponibilite,Performance,Qualite,OEE,Cause arret
2023-01-01,Presse #1,Jour,8,2.0,6.0,490,479,11,0.75,0.8166666666666668,0.9775510204081632,0.59875,Reglage
2023-01-01,Presse #1,Nuit,8,2.5,5.5,554,535,19,0.6875,1.0072727272727273,0.9657039711191335,0.66875,Maintenance
2023-01-01,Presse #2,Jour,8,0.5,7.5,633,620,13,0.9375,0.888421052631579,0.9794628751974723,0.8157894736842106,Maintenance
2023-01-01,Presse #2,Nuit,8,0.5,7.5,670,642,28,0.9375,0.9403508771929824,0.9582089552238806,0.8447368421052631,Maintenance
2023-01-01,Tour #1,Jour,8,1.0,7.0,536,509,27,0.875,0.9571428571428571,0.9496268656716418,0.7953124999999999,Reglage
2023-01-01,Tour #1,Nuit,8,0.5,7.5,479,443,36,0.9375,0.7983333333333333,0.9248434237995825,0.6921875000000001,Reglage
2023-01-01,Tour #2,Jour,8,0.0,8.0,664,649,15,1.0,0.9764705882352941,0.9774096385542169,0.9544117647058824,Reglage
2023-01-01,Tour #2,Nuit,8,0.5,7.5,523,501,22,0.9375,0.8203921568627451,0.9579349904397706,0.736764705882353,Maintenance
2023-01-02,Presse #1,Jour,8,0.0,8.0,714,706,8,1.0,0.8925,0.988795518207283,0.8825,Maintenance
2023-01-02,Presse #1,Nuit,8,0.5,7.5,618,595,23,0.9375,0.8240000000000001,0.9627831715210357,0.7437500000000001,Maintenance
2023-01-02,Presse #2,Jour,8,1.0,7.0,609,580,29,0.875,0.9157894736842105,0.9523809523809523,0.763157894736842,Reglage
2023-01-02,Presse #2,Nuit,8,0.5,7.5,611,582,29,0.9375,0.8575438596491228,0.9525368248772504,0.7657894736842106,Reglage
2023-01-02,Tour #1,Jour,8,0.0,8.0,635,609,26,1.0,0.9921875,0.9590551181102362,0.9515625,Maintenance
2023-01-02,Tour #1,Nuit,8,2.5,5.5,348,311,37,0.6875,0.7909090909090909,0.8936781609195402,0.48593749999999997,Maintenance
2023-01-02,Tour #2,Jour,8,0.5,7.5,636,628,8,0.9375,0.9976470588235293,0.9874213836477987,0.9235294117647058,Reglage
2023-01-02,Tour #2,Nuit,8,1.0,7.0,593,574,19,0.875,0.9966386554621848,0.9679595278246206,0.8441176470588234,Reglage
2023-01-03,Presse #1,Jour,8,2.0,6.0,490,479,11,0.75,0.8166666666666668,0.9775510204081632,0.59875,Reglage
2023-01-03,Presse #1,Nuit,8,2.5,5.5,554,535,19,0.6875,1.0072727272727273,0.9657039711191335,0.66875,Maintenance
2023-01-03,Presse #2,Jour,8,0.5,7.5,633,620,13,0.9375,0.888421052631579,0.9794628751974723,0.8157894736842106,Maintenance
2023-01-03,Presse #2,Nuit,8,0.5,7.5,670,642,28,0.9375,0.9403508771929824,0.9582089552238806,0.8447368421052631,Maintenance
2023-01-03,Tour #1,Jour,8,1.0,7.0,536,509,27,0.875,0.9571428571428571,0.9496268656716418,0.7953124999999999,Reglage
2023-01-03,Tour #1,Nuit,8,0.5,7.5,479,443,36,0.9375,0.7983333333333333,0.9248434237995825,0.6921875000000001,Reglage
2023-01-03,Tour #2,Jour,8,0.0,8.0,664,649,15,1.0,0.9764705882352941,0.9774096385542169,0.9544117647058824,Reglage
2023-01-03,Tour #2,Nuit,8,0.5,7.5,523,501,22,0.9375,0.8203921568627451,0.9579349904397706,0.736764705882353,Maintenance
2023-01-04,Presse #1,Jour,8,0.0,8.0,684,673,11,1.0,0.855,0.9839181286549707,0.8412499999999999,Reglage
2023-01-04,Presse #1,Nuit,8,0.5,7.5,619,601,18,0.9375,0.8253333333333334,0.9709208400646203,0.75125,Maintenance
2023-01-04,Presse #2,Jour,8,0.0,8.0,663,644,19,1.0,0.8723684210526316,0.971342383107089,0.8473684210526315,Reglage
2023-01-04,Presse #2,Nuit,8,1.0,7.0,535,511,24,0.875,0.8045112781954887,0.9551401869158879,0.6723684210526316,Reglage
2023-01-04,Tour #1,Jour,8,0.5,7.5,489,448,41,0.9375,0.8150000000000001,0.9161554192229039,0.7000000000000001,Maintenance
2023-01-04,Tour #1,Nuit,8,2.5,5.5,349,321,28,0.6875,0.7931818181818182,0.9197707736389685,0.5015625,Reglage
2023-01-04,Tour #2,Jour,8,1.0,7.0,565,556,9,0.875,0.9495798319327731,0.984070796460177,0.8176470588235294,Reglage
2023-01-04,Tour #2,Nuit,8,0.5,7.5,554,537,17,0.9375,0.8690196078431371,0.9693140794223827,0.789705882352941,Reglage
2023-01-05,Presse #1,Jour,8,2.0,6.0,555,542,13,0.75,0.925,0.9765765765765766,0.6775000000000001,Reglage
2023-01-05,Presse #1,Nuit,8,0.5,7.5,716,682,34,0.9375,0.9546666666666667,0.952513966480447,0.8525,Reglage
2023-01-05,Presse #2,Jour,8,1.0,7.0,635,613,22,0.875,0.9548872180451127,0.9653543307086614,0.806578947368421,Maintenance
2023-01-05,Presse #2,Nuit,8,0.5,7.5,592,563,29,0.9375,0.8308771929824562,0.9510135135135135,0.7407894736842106,Maintenance
2023-01-05,Tour #1,Jour,8,0.5,7.5,481,455,26,0.9375,0.8016666666666667,0.9459459459459459,0.7109375000000001,Maintenance
2023-01-05,Tour #1,Nuit,8,1.0,7.0,440,413,27,0.875,0.7857142857142857,0.9386363636363636,0.6453125,Maintenance
2023-01-05,Tour #2,Jour,8,0.5,7.5,598,577,21,0.9375,0.9380392156862746,0.9648829431438127,0.848529411764706,Maintenance
2023-01-05,Tour #2,Nuit,8,0.5,7.5,600,588,12,0.9375,0.9411764705882353,0.98,0.8647058823529411,Reglage
2023-01-06,Presse #1,Jour,8,0.0,8.0,684,673,11,1.0,0.855,0.9839181286549707,0.8412499999999999,Reglage
2023-01-06,Presse #1,Nuit,8,0.5,7.5,619,601,18,0.9375,0.8253333333333334,0.9709208400646203,0.75125,Maintenance
2023-01-06,Presse #2,Jour,8,0.0,8.0,663,644,19,1.0,0.8723684210526316,0.971342383107089,0.8473684210526315,Reglage
2023-01-06,Presse #2,Nuit,8,1.0,7.0,535,511,24,0.875,0.8045112781954887,0.9551401869158879,0.6723684210526316,Reglage
2023-01-06,Tour #1,Jour,8,0.5,7.5,489,448,41,0.9375,0.8150000000000001,0.9161554192229039,0.7000000000000001,Maintenance
2023-01-06,Tour #1,Nuit,8,2.5,5.5,349,321,28,0.6875,0.7931818181818182,0.9197707736389685,0.5015625,Reglage
2023-01-06,Tour #2,Jour,8,1.0,7.0,565,556,9,0.875,0.9495798319327731,0.984070796460177,0.8176470588235294,Reglage
2023-01-06,Tour #2,Nuit,8,0.5,7.5,554,537,17,0.9375,0.8690196078431371,0.9693140794223827,0.789705882352941,Reglage
2023-01-07,Presse #1,Jour,8,0.0,8.0,792,761,31,1.0,0.99,0.9608585858585859,0.95125,Reglage
2023-01-07,Presse #1,Nuit,8,1.0,7.0,583,573,10,0.875,0.832857142857143,0.9828473413379074,0.7162500000000002,Reglage
2023-01-07,Presse #2,Jour,8,0.0,8.0,739,714,25,1.0,0.9723684210526315,0.9661705006765899,0.9394736842105262,Maintenance
2023-01-07,Presse #2,Nuit,8,1.5,6.5,494,468,26,0.8125,0.8,0.9473684210526315,0.6157894736842106,Reglage
2023-01-07,Tour #1,Jour,8,1.0,7.0,471,443,28,0.875,0.8410714285714287,0.940552016985138,0.6921875000000002,Maintenance
2023-01-07,Tour #1,Nuit,8,0.5,7.5,510,473,37,0.9375,0.85,0.9274509803921569,0.7390625000000001,Maintenance
2023-01-07,Tour #2,Jour,8,0.0,8.0,583,563,20,1.0,0.8573529411764705,0.9656946826758147,0.8279411764705882,Maintenance
2023-01-07,Tour #2,Nuit,8,0.5,7.5,543,529,14,0.9375,0.851764705882353,0.9742173112338858,0.7779411764705882,Reglage
2023-01-08,Presse #1,Jour,8,0.0,8.0,714,706,8,1.0,0.8925,0.988795518207283,0.8825,Maintenance
2023-01-08,Presse #1,Nuit,8,0.5,7.5,618,595,23,0.9375,0.8240000000000001,0.9627831715210357,0.7437500000000001,Maintenance
2023-01-08,Presse #2,Jour,8,1.0,7.0,609,580,29,0.875,0.9157894736842105,0.9523809523809523,0.763157894736842,Reglage
2023-01-08,Presse #2,Nuit,8,0.5,7.5,611,582,29,0.9375,0.8575438596491228,0.9525368248772504,0.7657894736842106,Reglage
2023-01-08,Tour #1,Jour,8,0.0,8.0,635,609,26,1.0,0.9921875,0.9590551181102362,0.9515625,Maintenance
2023-01-08,Tour #1,Nuit,8,2.5,5.5,348,311,37,0.6875,0.7909090909090909,0.8936781609195402,0.48593749999999997,Maintenance
2023-01-08,Tour #2,Jour,8,0.5,7.5,636,628,8,0.9375,0.9976470588235293,0.9874213836477987,0.9235294117647058,Reglage
2023-01-08,Tour #2,Nuit,8,1.0,7.0,593,574,19,0.875,0.9966386554621848,0.9679595278246206,0.8441176470588234,Reglage
2023-01-09,Presse #1,Jour,8,1.0,7.0,658,639,19,0.875,0.94,0.9711246200607903,0.79875,Reglage
2023-01-09,Presse #1,Nuit,8,0.5,7.5,678,658,20,0.9375,0.904,0.9705014749262537,0.8225,Reglage
2023-01-09,Presse #2,Jour,8,0.0,8.0,673,656,17,1.0,0.8855263157894737,0.974739970282318,0.8631578947368421,Maintenance
2023-01-09,Presse #2,Nuit,8,1.0,7.0,620,613,7,0.875,0.9323308270676691,0.9887096774193549,0.8065789473684211,Reglage
2023-01-09,Tour #1,Jour,8,0.0,8.0,592,555,37,1.0,0.925,0.9375,0.8671875,Reglage
2023-01-09,Tour #1,Nuit,8,1.5,6.5,481,453,28,0.8125,0.925,0.9417879417879418,0.7078125000000001,Reglage
2023-01-09,Tour #2,Jour,8,0.0,8.0,631,625,6,1.0,0.9279411764705883,0.9904912836767037,0.9191176470588236,Reglage
2023-01-09,Tour #2,Nuit,8,1.0,7.0,589,569,20,0.875,0.9899159663865545,0.966044142614601,0.8367647058823529,Maintenance
2023-01-10,Presse #1,Jour,8,0.0,8.0,684,673,11,1.0,0.855,0.9839181286549707,0.8412499999999999,Reglage
2023-01-10,Presse #1,Nuit,8,0.5,7.5,619,601,18,0.9375,0.8253333333333334,0.9709208400646203,0.75125,Maintenance
2023-01-10,Presse #2,Jour,8,0.0,8.0,663,644,19,1.0,0.8723684210526316,0.971342383107089,0.8473684210526315,Reglage
2023-01-10,Presse #2,Nuit,8,1.0,7.0,535,511,24,0.875,0.8045112781954887,0.9551401869158879,0.6723684210526316,Reglage
2023-01-10,Tour #1,Jour,8,0.5,7.5,489,448,41,0.9375,0.8150000000000001,0.9161554192229039,0.7000000000000001,Maintenance
2023-01-10,Tour #1,Nuit,8,2.5,5.5,349,321,28,0.6875,0.7931818181818182,0.9197707736389685,0.5015625,Reglage
2023-01-10,Tour #2,Jour,8,1.0,7.0,565,556,9,0.875,0.9495798319327731,0.984070796460177,0.8176470588235294,Reglage
2023-01-10,Tour #2,Nuit,8,0.5,7.5,554,537,17,0.9375,0.8690196078431371,0.9693140794223827,0.789705882352941,Reglage
2023-01-11,Presse #1,Jour,8,0.0,8.0,734,707,27,1.0,0.9175,0.9632152588555858,0.8837499999999999,Reglage
2023-01-11,Presse #1,Nuit,8,0.5,7.5,681,668,13,0.9375,0.9079999999999999,0.9809104258443465,0.835,Reglage
2023-01-11,Presse #2,Jour,8,0.5,7.5,594,572,22,0.9375,0.8336842105263158,0.9629629629629629,0.7526315789473683,Reglage
2023-01-11,Presse #2,Nuit,8,0.5,7.5,710,699,11,0.9375,0.9964912280701755,0.9845070422535211,0.9197368421052633,Maintenance
2023-01-11,Tour #1,Jour,8,4.5,3.5,150,106,44,0.4375,0.5357142857142857,0.7066666666666667,0.165625,Panne
2023-01-11,Tour #1,Nuit,8,1.5,6.5,436,399,37,0.8125,0.8384615384615385,0.9151376146788991,0.6234375,Reglage
2023-01-11,Tour #2,Jour,8,1.0,7.0,542,526,16,0.875,0.9109243697478991,0.9704797047970479,0.7735294117647058,Reglage
2023-01-11,Tour #2,Nuit,8,0.5,7.5,516,491,25,0.9375,0.8094117647058823,0.9515503875968992,0.7220588235294118,Reglage
2023-01-12,Presse #1,Jour,8,0.0,8.0,645,623,22,1.0,0.80625,0.9658914728682171,0.77875,Maintenance
2023-01-12,Presse #1,Nuit,8,1.0,7.0,567,555,12,0.875,0.81,0.9788359788359788,0.69375,Reglage
2023-01-12,Presse #2,Jour,8,2.0,6.0,483,476,7,0.75,0.8473684210526315,0.9855072463768116,0.6263157894736843,Reglage
